id,#0,#1,#2,#3,#4,#5,#6,#7,time,millisecond
-1,0,0,0,0,0,0,0,0,0:51:51@19/4/2015,220823000 
-1,0,0,0,0,0,0,0,0,0:51:51@19/4/2015,220823009 
-1,0,0,0,0,0,0,0,0,0:51:51@19/4/2015,220823019 
-1,0,0,0,0,0,0,0,0,0:51:51@19/4/2015,220823029 
-1,0,0,0,0,0,0,0,0,0:51:51@19/4/2015,220823039 
-1,0,0,0,0,0,0,0,0,0:51:51@19/4/2015,220823050 
-1,0,0,0,0,0,0,0,0,0:51:51@19/4/2015,220823062 
-1,0,0,0,0,0,0,0,0,0:51:51@19/4/2015,220823073 
-1,0,0,0,0,0,0,0,0,0:51:51@19/4/2015,220823085 
-1,-2,-1,-3,-26,2,-3,-4,-4,0:51:51@19/4/2015,220823098 
-1,-1,-3,-5,-9,9,0,0,-1,0:51:51@19/4/2015,220823112 
-1,-1,-2,1,-4,-11,-2,-2,-1,0:51:51@19/4/2015,220823126 
-1,-1,-2,1,-4,-11,-2,-2,-1,0:51:51@19/4/2015,220823140 
-1,-3,-6,-8,-11,-4,0,-1,-2,0:51:51@19/4/2015,220823155 
-1,0,2,5,-20,-2,-9,-1,-5,0:51:51@19/4/2015,220823171 
-1,-1,2,1,12,-3,-4,-4,0,0:51:51@19/4/2015,220823187 
-1,-5,-6,2,-11,26,5,2,-1,0:51:51@19/4/2015,220823203 
-1,-1,1,-1,-9,-38,-4,-1,-2,0:51:51@19/4/2015,220823219 
-1,-2,-2,-1,-8,-9,-1,-2,-2,0:51:51@19/4/2015,220823236 
-1,-1,-3,6,-3,-18,-8,0,-1,0:51:51@19/4/2015,220823254 
-1,0,-3,-4,0,13,-1,-2,0,0:51:51@19/4/2015,220823282 
-1,-1,0,-8,4,18,-3,-4,-2,0:51:51@19/4/2015,220823300 
-1,1,-2,-4,-9,0,1,-2,-1,0:51:51@19/4/2015,220823319 
-1,2,0,8,24,-16,0,-1,-1,0:51:51@19/4/2015,220823338 
-1,0,6,3,-14,-6,4,-3,1,0:51:51@19/4/2015,220823358 
-1,0,6,3,-14,-6,4,-3,1,0:51:51@19/4/2015,220823367 
-1,-2,-4,-6,-19,5,-7,-4,-3,0:51:51@19/4/2015,220823376 
-1,-1,0,-9,6,-12,2,0,1,0:51:51@19/4/2015,220823385 
-1,-1,0,-9,6,-12,2,0,1,0:51:51@19/4/2015,220823395 
-1,-1,2,-4,-5,-9,-3,-1,-1,0:51:51@19/4/2015,220823405 
-1,2,-1,-1,18,9,3,0,-3,0:51:51@19/4/2015,220823416 
-1,-5,0,4,11,23,-1,0,-2,0:51:51@19/4/2015,220823427 
-1,-5,0,4,11,23,-1,0,-2,0:51:51@19/4/2015,220823439 
-1,1,-1,-1,-13,-5,-6,-5,-4,0:51:51@19/4/2015,220823451 
-1,2,-2,0,-12,-1,-3,-2,-1,0:51:51@19/4/2015,220823464 
-1,-4,0,-6,3,1,1,0,-1,0:51:51@19/4/2015,220823477 
-1,-3,-9,-10,-25,-7,1,-1,-4,0:51:51@19/4/2015,220823490 
-1,-3,-6,-22,10,20,2,1,-2,0:51:51@19/4/2015,220823504 
-1,-2,-1,-7,13,-1,-2,2,0,0:51:51@19/4/2015,220823518 
-1,-2,-2,-2,-1,4,0,1,0,0:51:51@19/4/2015,220823533 
-1,-4,-2,1,2,1,-12,-5,-3,0:51:51@19/4/2015,220823549 
-1,-2,-3,-5,4,7,-2,0,-1,0:51:51@19/4/2015,220823565 
-1,0,-2,-5,-3,-9,0,-1,0,0:51:51@19/4/2015,220823582 
-1,-2,-2,2,-15,-7,1,-2,0,0:51:51@19/4/2015,220823599 
-1,0,3,-6,3,0,3,1,0,0:51:51@19/4/2015,220823616 
-1,-1,0,1,-11,-39,-4,1,-1,0:51:51@19/4/2015,220823634 
-1,-2,-4,-1,-1,-2,-6,-2,-2,0:51:51@19/4/2015,220823653 
-1,0,0,0,1,2,-1,2,0,0:51:51@19/4/2015,220823672 
-1,1,1,3,0,-21,-8,-3,-2,0:51:51@19/4/2015,220823691 
-1,-1,0,-1,0,17,-5,-2,0,0:51:51@19/4/2015,220823711 
-1,-1,0,-1,0,17,-5,-2,0,0:51:51@19/4/2015,220823720 
-1,0,-2,-4,-3,8,-1,-2,-1,0:51:51@19/4/2015,220823729 
-1,0,2,8,10,2,2,3,-1,0:51:51@19/4/2015,220823738 
-1,-2,-3,-2,-9,7,-3,-3,-1,0:51:51@19/4/2015,220823748 
-1,-2,-2,-6,-11,-18,-4,-2,-1,0:51:51@19/4/2015,220823758 
-1,-1,-1,-3,-4,-7,1,-1,-3,0:51:51@19/4/2015,220823769 
-1,-1,-1,2,8,16,1,2,-1,0:51:51@19/4/2015,220823781 
-1,-2,1,-2,-2,-24,-2,-2,-2,0:51:51@19/4/2015,220823793 
-1,0,-2,-6,-9,-4,-2,1,1,0:51:51@19/4/2015,220823805 
-1,-3,-2,-1,9,-1,-2,-2,-2,0:51:51@19/4/2015,220823818 
-1,0,0,-10,-6,-4,3,-1,-2,0:51:51@19/4/2015,220823831 
-1,-3,-3,-8,-4,-1,-8,-4,-4,0:51:51@19/4/2015,220823845 
-1,-1,4,5,3,13,-1,0,0,0:51:51@19/4/2015,220823859 
-1,0,-2,-5,2,2,1,-1,0,0:51:51@19/4/2015,220823874 
-1,-1,0,4,10,-22,-4,-4,-1,0:51:51@19/4/2015,220823889 
-1,0,1,-4,-7,15,-4,-1,0,0:51:51@19/4/2015,220823905 
-1,1,-2,-5,-9,-39,-3,0,-3,0:51:51@19/4/2015,220823922 
-1,1,-2,-5,-9,-39,-3,0,-3,0:51:51@19/4/2015,220823938 
-1,0,1,3,-4,12,-1,-2,-1,0:51:51@19/4/2015,220823955 
-1,0,0,0,6,45,4,1,0,0:51:51@19/4/2015,220823973 
-1,0,-3,-4,4,3,1,1,0,0:51:51@19/4/2015,220823991 
-1,-1,-1,-2,-6,19,-8,-1,-1,0:51:52@19/4/2015,220824009 
-1,-2,-1,3,4,-21,-4,0,-2,0:51:52@19/4/2015,220824030 
-1,-1,-1,3,1,-15,2,1,-1,0:51:52@19/4/2015,220824052 
-1,-1,-4,-1,12,-68,7,0,0,0:51:52@19/4/2015,220824075 
-1,-2,-1,-3,-12,0,0,-1,-1,0:51:52@19/4/2015,220824085 
-1,-1,-2,5,0,6,0,-1,-1,0:51:52@19/4/2015,220824094 
-1,-1,-2,5,0,6,0,-1,-1,0:51:52@19/4/2015,220824105 
-1,-3,-4,-5,-8,19,3,-2,-1,0:51:52@19/4/2015,220824115 
-1,0,-1,-1,-3,20,-12,-6,-1,0:51:52@19/4/2015,220824126 
-1,0,-1,-1,-3,20,-12,-6,-1,0:51:52@19/4/2015,220824138 
-1,-3,-1,-2,-14,0,0,-7,-4,0:51:52@19/4/2015,220824150 
-1,1,1,-2,-2,-43,-10,-1,0,0:51:52@19/4/2015,220824162 
-1,2,2,1,-5,0,-5,-1,-1,0:51:52@19/4/2015,220824174 
-1,-2,-1,3,2,1,1,2,0,0:51:52@19/4/2015,220824187 
-1,2,2,0,13,81,3,0,-1,0:51:52@19/4/2015,220824200 
-1,-3,-2,-5,-11,-50,-12,-8,-4,0:51:52@19/4/2015,220824214 
-1,0,0,-1,3,-11,2,1,-1,0:51:52@19/4/2015,220824228 
-1,-1,1,6,20,13,12,3,2,0:51:52@19/4/2015,220824242 
-1,-1,-2,-3,-1,25,-4,-3,-1,0:51:52@19/4/2015,220824257 
-1,1,-1,1,-6,-2,-1,-2,-1,0:51:52@19/4/2015,220824273 
-1,-2,-3,-1,1,-45,5,1,-1,0:51:52@19/4/2015,220824299 
-1,0,2,-3,-2,-14,-2,0,1,0:51:52@19/4/2015,220824316 
-1,-6,-5,-9,-2,-10,-2,-2,-4,0:51:52@19/4/2015,220824333 
-1,-2,0,-1,-3,83,12,1,0,0:51:52@19/4/2015,220824350 
-1,-3,1,-2,-1,-26,-2,-1,-2,0:51:52@19/4/2015,220824368 
-1,1,-1,2,18,-18,-5,0,-1,0:51:52@19/4/2015,220824387 
-1,-3,-4,-7,-6,-21,2,1,0,0:51:52@19/4/2015,220824406 
-1,1,-1,-7,-5,1,-7,-2,-1,0:51:52@19/4/2015,220824426 
